id,p1,p2,winner,score,turns,time
216280817,0,0,1,26,114,1479412
216280816,0,0,2,25,83,1145339
216280816,0,0,2,29,92,1248628
216280816,0,0,1,32,56,714536
216280816,0,0,2,25,76,1142039
216280816,0,0,2,28,98,1447639
216280816,0,0,1,25,77,1489908
216280816,0,0,2,34,47,983396
216280815,0,0,2,28,147,2837274
216280815,0,0,1,25,90,1697932
216280815,0,0,1,28,127,2280779
216280815,0,0,2,25,109,1887781
216280815,0,0,1,25,111,2160236
216280815,0,0,2,25,137,2440543
216280815,0,0,2,33,86,1241890
216280815,0,0,1,25,72,967718
216280814,0,0,1,30,94,1399387
216280814,0,0,2,25,109,1574980
216280814,0,0,1,35,26,422059
216280814,0,0,2,25,93,1228841
216280814,0,0,2,26,112,1678592
216280814,0,0,1,27,161,2376807
216280814,0,0,1,26,90,1292863
216280813,0,0,2,28,99,1416398
216280813,0,0,2,29,79,1077826
216280813,0,0,2,32,50,696641
216280813,0,0,1,25,73,976477
216280813,0,0,1,31,58,825948
216280813,0,0,2,25,85,1142695
216280813,0,0,2,32,94,1279851
216280812,0,0,1,28,99,1272704
216280812,0,0,2,25,84,1174513
216280812,0,0,2,25,127,1840687
216280812,0,0,2,31,76,1119847
216280812,0,0,1,32,51,733537
216280812,0,0,2,28,85,1113470
216280811,0,0,2,25,68,877272
216280811,0,0,2,27,143,2024047
216280811,0,0,1,30,112,1582750
216280811,0,0,1,25,90,1189950
216280811,0,0,2,38,20,438008
216280811,0,0,2,25,120,1738840
216280811,0,0,2,29,61,817264
216280811,0,0,2,33,45,666602
216280811,0,0,1,25,101,1351867
216280810,0,0,1,25,119,1612286
216280810,0,0,1,26,120,1695188
216280810,0,0,2,25,96,1161027
216280810,0,0,2,32,60,754864
216280810,0,0,2,25,113,1475424
216280810,0,0,2,25,82,1050940
216280810,0,0,2,25,88,1221741
216280810,0,0,1,25,58,821882
216280809,0,0,1,25,101,1283944
216280809,0,0,1,34,48,726738
216280809,0,0,1,25,86,1327732
216280809,0,0,2,25,121,1790687
216280809,0,0,1,30,68,1077386
216280809,0,0,2,25,84,1303463
216280809,0,0,1,30,84,1142828
216280809,0,0,2,25,98,1606566
216280809,0,0,1,31,113,1798165
216280809,0,0,1,25,96,2027710
216280809,0,0,2,25,117,1755655
216280808,0,0,2,26,107,1570639
216280808,0,0,1,30,68,1027802
216280808,0,0,1,30,52,798146
216280808,0,0,1,29,67,1124289
216280808,0,0,1,26,93,1335128
216280808,0,0,1,30,62,908316
216280808,0,0,2,26,114,1654543
216280808,0,0,1,29,122,1617733
216280808,0,0,1,33,80,1326353
216280808,0,0,2,25,93,1281814
216280808,0,0,2,25,93,1288961
216280808,0,0,1,25,122,1619450
216280808,0,0,2,30,86,1550803
216280808,0,0,1,25,118,2089900
216280808,0,0,2,32,63,846205
216280808,0,0,1,29,83,1156781
216280807,0,0,2,28,66,926806
